&#8482;|™
&euro;|€
&#32;| 
&nbsp;| 
&#33;|!
&#34;|"
&quot;|"
&#35;|#
&#36;|$
&#37;|%
&#38;|&
&amp;|&
&#39;|'
&#40;|(
&#41;|)
&#42;|*
&#43;|+
&#44;|,
&#45;|-
&#46;|.
&#47;|/
&#48;|0
&#49;|1
&#50;|2
&#51;|3
&#52;|4
&#53;|5
&#54;|6
&#55;|7
&#56;|8
&#57;|9
&#58;|:
&#59;|;
&#60;|<
&lt;|<
&#61;|=
&#62;|>
&gt;|>
&#63;|?
&#64;|@
&#65;|A
&#66;|B
&#67;|C
&#68;|D
&#69;|E
&#70;|F
&#71;|G
&#72;|H
&#73;|I
&#74;|J
&#75;|K
&#76;|L
&#77;|M
&#78;|N
&#79;|O
&#80;|P
&#81;|Q
&#82;|R
&#83;|S
&#84;|T
&#85;|U
&#86;|V
&#87;|W
&#88;|X
&#89;|Y
&#90;|Z
&#91;|[
&#92;|\
&#93;|]
&#94;|^
&#95;|_
&#96;|`
&#97;|a
&#98;|b
&#99;|c
&#100;|d
&#101;|e
&#102;|f
&#103;|g
&#104;|h
&#105;|i
&#106;|j
&#107;|k
&#108;|l
&#109;|m
&#110;|n
&#111;|o
&#112;|p
&#113;|q
&#114;|r
&#115;|s
&#116;|t
&#117;|u
&#118;|v
&#119;|w
&#120;|x
&#121;|y
&#122;|z
&#123;|{
&#124;||
&#125;|}
&#126;|~
&#160;| 
&nbsp;| 
&#161;|¡
&iexcl;|¡
&#162;|¢
&cent;|¢
&#163;|£
&pound;|£
&#164;|¤
&curren;|¤
&#165;|¥
&yen;|¥
&#166;|¦
&brvbar;|¦
&#167;|§
&sect;|§
&#168;|¨
&uml;|¨
&#169;|©
&copy;|©
&#170;|ª
&ordf;|ª
&#171;|«
&#172;|¬
&not;|¬
&#173;|­
&shy;|­
&#174;|®
&reg;|®
&#175;|¯
&macr;|¯
&#176;|°
&deg;|°
&#177;|±
&plusmn;|±
&#178;|²
&sup2;|²
&#179;|³
&sup3;|³
&#180;|´
&acute;|´
&#181;|µ
&micro;|µ
&#182;|¶
&para;|¶
&#183;|·
&middot;|·
&#184;|¸
&cedil;|¸
&#185;|¹
&sup1;|¹
&#186;|º
&ordm;|º
&#187;|»
&raquo;|»
&#188;|¼
&frac14;|¼
&#189;|½
&frac12;|½
&#190;|¾
&frac34;|¾
&#191;|¿
